# word_frequencies.csv
word,frequency
the,23135851162
of,13151942776
and,12997637966
to,12136980858
a,9081174698
in,8469404971
for,5933321709
is,4705743816
on,3750423199
that,3400031103
by,3350048871
this,3228469771
with,3183110675
i,3086225277
you,2996181025
it,2813163874
not,2633487141
or,2590739491
be,2393164224
are,2256881559
from,1992894007
at,1963212622
as,1937447338
your,1893004922
all,1846657411
have,1773774739
new,1620266383
more,1609914721
an,1540269243
was,1522347492
we,1507723467
will,1487424207
home,1464363628
can,1423859211
us,1418779962
about,1414979848
if,1406126930
page,1383047807
my,1378019072
has,1366812565
search,1349411432
free,1339772833
but,1335694301
our,1333614625
one,1317374251
other,1310348978
do,1286973759
no,1276279392
information,1247175083
time,1242275142
they,1209059221
site,1208369771
he,1207485865
up,1194389403
may,1190776019
what,1187594389
which,1183934594
their,1177786365
news,1169566024
out,1166697461
use,1156597009
any,1146506741
there,1142615062
see,1139812214
only,1133042357
so,1122166281
his,1117837448
when,1112783821
contact,1107201080
here,1105292132
business,1097374030
who,1097370541
web,1095617501
also,1093020998
now,1086816860
help,1085255854
get,1080753297
pm,1079029720
view,1078030102
online,1077533909
c,1076516703
e,1072615168
first,1068776899
am,1067829773
been,1067157857
would,1066988359
how,1066754263
were,1064582613
me,1064567255
s,1062038459
services,1057109275
some,1057000531
these,1051538544
click,1048923949
its,1047039492
like,1042422528
service,1039185259
x,1038680388
than,1037040050
find,1037033661
price,1033484258
date,1032089770
back,1029045638
top,1028503540
people,1028266411
had,1028260177
list,1027779570
name,1027039776
just,1026998971
over,1025739812
state,1025450472
year,1022598036
day,1022503747
into,1022240904
email,1021294032
two,1017386869
health,1016784292
n,1015255794
world,1012299508
re,1010950536
next,1009998231
used,1009548429
go,1009517450
b,1009235491
work,1008496509
last,1008379714
most,1008301691
products,1008154313
music,1008030301
buy,1007819911
data,1007556501
make,1007388970
them,1006125256
should,1006039051
product,1004762571
system,1004276501
post,1003917461
her,1003756501
city,1003456501
t,1003256501
add,1003156501
policy,1003056501
number,1002956501
such,1002856501
please,1002756501
available,1002656501
copyright,1002556501
support,1002456501
message,1002356501
after,1002256501
best,1002156501
software,1002056501
then,1001956501
jan,1001856501
good,1001756501
video,1001656501
well,1001556501
d,1001456501
where,1001356501
info,1001256501
rights,1001156501
public,1001056501
books,1000956501
high,1000856501
school,1000756501
through,1000656501
m,1000556501
each,1000456501
links,1000356501
she,1000256501
review,1000156501
years,1000056501
order,999956501
very,999856501
privacy,999756501
book,999656501
items,999556501
company,999456501
r,999356501
read,999256501
group,999156501
sex,999056501
need,998956501
many,998856501
user,998756501
said,998656501
de,998556501
does,998456501
set,998356501
under,998256501
general,998156501
research,998056501
university,997956501
january,997856501
mail,997756501
full,997656501
map,997556501
reviews,997456501
program,997356501
life,997256501
know,997156501
games,997056501
way,996956501
days,996856501
management,996756501
p,996656501
part,996556501
could,996456501
great,996356501
united,996256501
hotel,996156501
real,996056501
f,995956501
item,995856501
international,995756501
center,995656501
ebay,995556501
must,995456501
store,995356501
travel,995256501
comments,995156501
made,995056501
development,994956501
report,994856501
off,994756501
member,994656501
details,994556501
line,994456501
terms,994356501
before,994256501
hotels,994156501
did,994056501
send,993956501
right,993856501
type,993756501
because,993656501
local,993556501
those,993456501
using,993356501
results,993256501
office,993156501
education,993056501
national,992956501
car,992856501
design,992756501
take,992656501
posted,992556501
internet,992456501
address,992356501
community,992256501
within,992156501
states,992056501
area,991956501
want,991856501
phone,991756501
dvd,991656501
shipping,991556501
reserved,991456501
subject,991356501
between,991256501
forum,991156501
family,991056501
l,990956501
long,990856501
based,990756501
w,990656501
code,990556501
show,990456501
o,990356501
even,990256501
black,990156501
check,990056501
special,989956501
prices,989856501
website,989756501
index,989656501
being,989556501
women,989456501
much,989356501
sign,989256501
file,989156501
link,989056501
open,988956501
today,988856501
technology,988756501
south,988656501
case,988556501
project,988456501
same,988356501
pages,988256501
uk,988156501
version,988056501
section,987956501
own,987856501
found,987756501
sports,987656501
house,987556501
related,987456501
security,987356501
both,987256501
g,987156501
county,987056501
american,986956501
photo,986856501
game,986756501
members,986656501
power,986556501
while,986456501
care,986356501
network,986256501
down,986156501
computer,986056501
systems,985956501
three,985856501
total,985756501
place,985656501
end,985556501
following,985456501
download,985356501
h,985256501
him,985156501
without,985056501
per,984956501
access,984856501
think,984756501
north,984656501
resources,984556501
current,984456501
posts,984356501
big,984256501
media,984156501
law,984056501
control,983956501
water,983856501
history,983756501
pictures,983656501
size,983556501
art,983456501
personal,983356501
since,983256501
including,983156501
guide,983056501
shop,982956501
directory,982856501
board,982756501
location,982656501
change,982556501
white,982456501
text,982356501
small,982256501
rating,982156501
rate,982056501
government,981956501
children,981856501
during,981756501
usa,981656501
return,981556501
students,981456501
v,981356501
shopping,981256501
account,981156501
times,981056501
sites,980956501
level,980856501
digital,980756501
profile,980656501
previous,980556501
form,980456501
events,980356501
love,980256501
old,980156501
john,980056501
main,979956501
call,979856501
hours,979756501
image,979656501
department,979556501
title,979456501
description,979356501
non,979256501
k,979156501
y,979056501
insurance,978956501
another,978856501
why,978756501
shall,978656501
property,978556501
class,978456501
cd,978356501
still,978256501
money,978156501
quality,978056501
every,977956501
listing,977856501
content,977756501
country,977656501
private,977556501
little,977456501
visit,977356501
save,977256501
tools,977156501
low,977056501
reply,976956501
customer,976856501
december,976756501
compare,976656501
movies,976556501
include,976456501
college,976356501
value,976256501
article,976156501
york,976056501
man,975956501
card,975856501
jobs,975756501
provide,975656501
j,975556501
food,975456501
source,975356501
author,975256501
different,975156501
press,975056501
u,974956501
learn,974856501
sale,974756501
around,974656501
print,974556501
course,974456501
job,974356501
canada,974256501
process,974156501
teen,974056501
room,973956501
stock,973856501
training,973756501
too,973656501
credit,973556501
point,973456501
join,973356501
science,973256501
men,973156501
categories,973056501
advanced,972956501
west,972856501
sales,972756501
look,972656501
english,972556501
left,972456501
team,972356501
estate,972256501
box,972156501
conditions,972056501
select,971956501
windows,971856501
photos,971756501
gay,971656501
thread,971556501
week,971456501
category,971356501
note,971256501
live,971156501
large,971056501
gallery,970956501
table,970856501
register,970756501
however,970656501
june,970556501
october,970456501
november,970356501
market,970256501
library,970156501
really,970056501
action,969956501
start,969856501
series,969756501
model,969656501
features,969556501
air,969456501
industry,969356501
plan,969256501
human,969156501
provided,969056501
tv,968956501
yes,968856501
required,968756501
second,968656501
hot,968556501
accessories,968456501
cost,968356501
movie,968256501
